,GAME_ID,GAME_DATE,HOME_SCORE,AWAY_SCORE,HOME_TEAM_ID,AWAY_TEAM_ID
273,0022000295,2021-01-29,125,147,1610612760,1610612751
274,0022000293,2021-01-29,126,131,1610612749,1610612740
275,0022000305,2021-01-30,91,118,1610612765,1610612744
276,0022000304,2021-01-30,112,129,1610612759,1610612763
277,0022000298,2021-01-30,122,123,1610612741,1610612757
278,0022000302,2021-01-30,96,95,1610612747,1610612738
279,0022000301,2021-01-30,105,104,1610612748,1610612758
280,0022000303,2021-01-30,105,111,1610612742,1610612756
281,0022000299,2021-01-30,126,114,1610612766,1610612749
282,0022000300,2021-01-30,126,112,1610612745,1610612740
283,0022000308,2021-01-31,115,129,1610612752,1610612746
284,0022000307,2021-01-31,119,110,1610612755,1610612754
285,0022000306,2021-01-31,117,128,1610612762,1610612743
286,0022000311,2021-01-31,104,109,1610612739,1610612750
287,0022000310,2021-01-31,146,149,1610612751,1610612764
288,0022000309,2021-01-31,102,115,1610612753,1610612761
289,0022000320,2021-02-01,102,133,1610612759,1610612763
290,0022000315,2021-02-01,102,110,1610612752,1610612741
291,0022000312,2021-02-01,100,98,1610612739,1610612750
292,0022000314,2021-02-01,121,129,1610612748,1610612766
293,0022000316,2021-02-01,106,134,1610612757,1610612749
294,0022000313,2021-02-01,107,99,1610612747,1610612737
295,0022000319,2021-02-01,108,109,1610612742,1610612756
296,0022000318,2021-02-01,136,106,1610612745,1610612760
297,0022000317,2021-02-01,118,109,1610612758,1610612740
298,0022000326,2021-02-02,107,111,1610612744,1610612738
299,0022000324,2021-02-02,120,124,1610612746,1610612751
300,0022000323,2021-02-02,123,108,1610612761,1610612753
301,0022000325,2021-02-02,105,117,1610612765,1610612762
302,0022000322,2021-02-02,134,116,1610612754,1610612763
303,0022000559,2021-02-02,132,121,1610612757,1610612764
304,0022000334,2021-02-03,108,111,1610612750,1610612759
305,0022000332,2021-02-03,103,107,1610612741,1610612752
306,0022000328,2021-02-03,99,121,1610612739,1610612746
307,0022000331,2021-02-03,100,103,1610612748,1610612764
308,0022000329,2021-02-03,130,110,1610612749,1610612754
309,0022000330,2021-02-03,116,122,1610612737,1610612742
310,0022000336,2021-02-03,116,111,1610612758,1610612738
311,0022000327,2021-02-03,111,118,1610612766,1610612755
312,0022000335,2021-02-03,101,123,1610612756,1610612740
313,0022000333,2021-02-03,104,87,1610612760,1610612745
314,0022000337,2021-02-04,105,121,1610612755,1610612757
315,0022000341,2021-02-04,93,114,1610612743,1610612747
316,0022000338,2021-02-04,112,91,1610612762,1610612737
317,0022000339,2021-02-04,116,147,1610612742,1610612744
318,0022000340,2021-02-04,103,115,1610612763,1610612745
319,0022000349,2021-02-05,109,92,1610612756,1610612765
320,0022000345,2021-02-05,123,117,1610612761,1610612751
321,0022000350,2021-02-05,119,115,1610612738,1610612746
322,0022000344,2021-02-05,119,123,1610612741,1610612753
323,0022000346,2021-02-05,105,123,1610612739,1610612749
324,0022000347,2021-02-05,122,95,1610612748,1610612764
325,0022000343,2021-02-05,113,114,1610612754,1610612740
326,0022000342,2021-02-05,121,138,1610612766,1610612762
327,0022000348,2021-02-05,106,103,1610612750,1610612760
328,0022000354,2021-02-06,124,108,1610612755,1610612751
329,0022000361,2021-02-06,135,129,1610612747,1610612765
330,0022000351,2021-02-06,99,110,1610612757,1610612752
331,0022000353,2021-02-06,118,92,1610612741,1610612753
332,0022000358,2021-02-06,106,111,1610612745,1610612759
333,0022000357,2021-02-06,124,99,1610612749,1610612739
334,0022000356,2021-02-06,132,121,1610612737,1610612761
