,PERSON_ID,FIRST_NAME,LAST_NAME,HEIGHT,WEIGHT
0,1630527,Brandon,Boston,6-6,188
0,1628449,Chris,Boucher,6-9,200
0,1630547,James,Bouknight,6-4,190
0,1628968,Brian,Bowen II,6-6,190
0,202340,Avery,Bradley,6-3,180
0,1628396,Tony,Bradley,6-11,248
0,1631103,Malaki,Branham,6-4,180
0,1629714,Jarrell,Brantley,6-5,250
0,1631128,Christian,Braun,6-6,220
0,1629649,Ignas,Brazdeikis,6-6,221
0,1628969,Mikal,Bridges,6-6,209
0,1628970,Miles,Bridges,6-7,225
0,1628578,Amida,Brimah,6-10,230
0,1629052,Oshae,Brissett,6-7,210
0,1627763,Malcolm,Brogdon,6-4,229
0,1629717,Armoni,Brooks,6-3,195
0,1628415,Dillon,Brooks,6-6,225
0,1628971,Bruce,Brown,6-4,202
0,1627759,Jaylen,Brown,6-6,223
0,1631112,Kendall,Brown,6-7,205
0,1629650,Moses,Brown,7-2,245
0,1628425,Sterling,Brown,6-5,219
0,1630535,Greg,Brown III,6-7,206
0,1629718,Charlie,Brown Jr.,6-6,199
0,1630602,Chaundee,Brown Jr.,6-5,215
0,1628972,Troy,Brown Jr.,6-7,215
0,1628973,Jalen,Brunson,6-2,190
0,1629091,Elijah,Bryant,6-5,210
0,1628418,Thomas,Bryant,6-10,248
0,1629783,Shaq,Buchanan,6-3,190
0,203493,Reggie,Bullock,6-6,205
0,203504,Trey,Burke,6-0,185
0,202692,Alec,Burks,6-6,214
0,1630215,Jared,Butler,6-3,193
0,202710,Jimmy,Butler,6-7,230
0,203998,Bruno,Caboclo,6-9,218
0,1629719,Devontae,Cacok,6-7,240
0,1631288,Jamal,Cain,6-6,191
0,203484,Kentavious,Caldwell-Pope,6-5,204
0,1630267,Facundo,Campazzo,5-10,195
0,1628427,Vlatko,Cancar,6-8,236
0,1629962,Devin,Cannady,6-2,183
0,203991,Clint,Capela,6-10,256
0,1630176,Vernon,Carey Jr.,6-10,270
0,1628975,Jevon,Carter,6-1,200
0,1628976,Wendell,Carter Jr.,6-10,270
0,203487,Michael,Carter-Williams,6-5,190
0,1627936,Alex,Caruso,6-5,186
0,1626161,Willie,Cauley-Stein,7-0,240
0,1629958,Ahmad,Caver,6-2,174
0,1630577,Julian,Champagnie,6-7,217
0,1630551,Justin,Champagnie,6-6,206
0,1631113,Kennedy,Chandler,5-11,170
