,TeamID,SEASON,LeagueID,PLAYER,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,NICKNAME,HOW_ACQUIRED
2,1610612746,2022,00,Brandon Boston Jr.,brandon-boston-jr,4,G,6-6,188,"NOV 28, 2001",20.0,1,Kentucky,1630527,Brandon,Draft Rights Traded from NOP on 08/07/21
3,1610612746,2022,00,Luke Kennard,luke-kennard,5,G,6-5,206,"JUN 24, 1996",26.0,5,Duke,1628379,Luke,Traded from DET on 11/19/20
4,1610612746,2022,00,Moses Brown,moses-brown,6,C,7-2,245,"OCT 13, 1999",23.0,3,UCLA,1629650,Moses,Signed on 07/09/22
5,1610612746,2022,00,Amir Coffey,amir-coffey,7,G-F,6-7,210,"JUN 17, 1997",25.0,3,Minnesota,1629599,Amir,Signed on 07/09/19
6,1610612746,2022,00,Marcus Morris Sr.,marcus-morris-sr,8,F,6-8,218,"SEP 02, 1989",33.0,11,Kansas,202694,Marcus,Traded from NYK on 02/06/20
7,1610612746,2022,00,John Wall,john-wall,11,G,6-3,210,"SEP 06, 1990",32.0,10,Kentucky,202322,John,Signed on 07/08/22
8,1610612746,2022,00,Paul George,paul-george,13,F,6-8,220,"MAY 02, 1990",32.0,12,Fresno State,202331,Paul,Traded from OKC on 07/10/19
9,1610612746,2022,00,Terance Mann,terance-mann,14,G-F,6-5,215,"OCT 18, 1996",26.0,3,Florida State,1629611,Terance,#48 Pick in 2019 Draft
10,1610612746,2022,00,Jason Preston,jason-preston,17,G,6-3,181,"AUG 10, 1999",23.0,R,Ohio,1630554,Jason,Draft Rights Traded from ORL on 07/29/21
11,1610612746,2022,00,Robert Covington,robert-covington,23,F,6-7,209,"DEC 14, 1990",31.0,9,Tennessee State,203496,Robert,Traded from POR on 02/04/22
12,1610612746,2022,00,Norman Powell,norman-powell,24,G,6-4,215,"MAY 25, 1993",29.0,7,UCLA,1626181,Norman,Traded from POR on 02/04/22
13,1610612746,2022,00,Moussa Diabate,moussa-diabate,25,F,6-10,210,"JAN 21, 2002",20.0,R,Michigan,1631217,Moussa,#43 Pick in 2022 Draft
14,1610612746,2022,00,Nicolas Batum,nicolas-batum,33,G-F,6-8,230,"DEC 14, 1988",33.0,14,Le Mans,201587,Nicolas,Signed on 12/01/20
15,1610612746,2022,00,Ivica Zubac,ivica-zubac,40,C,7-0,240,"MAR 18, 1997",25.0,6,Mega Basket,1627826,Ivica,Traded from LAL on 02/07/19
0,1610612747,2022,00,Russell Westbrook,russell-westbrook,0,G,6-3,200,"NOV 12, 1988",33.0,14,UCLA,201566,Russell,Traded from WAS on 08/06/21
1,1610612747,2022,00,Anthony Davis,anthony-davis,3,F-C,6-10,253,"MAR 11, 1993",29.0,10,Kentucky,203076,Anthony,Traded from NOP on 07/06/19
2,1610612747,2022,00,Lonnie Walker IV,lonnie-walker-iv,4,G-F,6-4,204,"DEC 14, 1998",23.0,4,Miami,1629022,Lonnie,Signed on 07/06/22
3,1610612747,2022,00,LeBron James,lebron-james,6,F,6-9,250,"DEC 30, 1984",37.0,19,St. Vincent-St. Mary HS (OH),2544,LeBron,Signed on 07/09/18
4,1610612747,2022,00,Troy Brown Jr.,troy-brown-jr,7,G-F,6-7,215,"JUL 28, 1999",23.0,4,Oregon,1628972,Troy,Signed on 07/01/22
5,1610612747,2022,00,Max Christie,max-christie,10,G,6-5,190,"FEB 10, 2003",19.0,R,Michigan State,1631108,Max,#35 Pick in 2022 Draft
6,1610612747,2022,00,Kendrick Nunn,kendrick-nunn,12,G,6-3,190,"AUG 03, 1995",27.0,2,Oakland,1629134,Kendrick,Signed on 08/06/21
7,1610612747,2022,00,Scotty Pippen Jr.,scotty-pippen-jr,14,G,6-1,170,"NOV 10, 2000",22.0,R,Vanderbilt,1630590,Scotty,Signed on 07/01/22
8,1610612747,2022,00,Austin Reaves,austin-reaves,15,G,6-5,197,"MAY 29, 1998",24.0,1,Oklahoma,1630559,Austin,Signed on 08/03/21
9,1610612747,2022,00,Dennis Schroder,dennis-schroder,17,G,6-1,172,"SEP 15, 1993",29.0,9,Braunschweig,203471,Dennis,Signed on 09/16/22
10,1610612747,2022,00,Cole Swider,cole-swider,20,F,6-9,220,"MAY 08, 1999",23.0,R,Syracuse,1631306,Cole,Signed on 07/01/22
11,1610612747,2022,00,Patrick Beverley,patrick-beverley,21,G,6-2,180,"JUL 12, 1988",34.0,10,Arkansas,201976,Patrick,Traded from UTA on 08/25/22
12,1610612747,2022,00,Damian Jones,damian-jones,30,C,6-11,245,"JUN 30, 1995",27.0,6,Vanderbilt,1627745,Damian,Signed on 07/01/22
13,1610612747,2022,00,Thomas Bryant,thomas-bryant,31,C-F,6-10,248,"JUL 31, 1997",25.0,5,Indiana,1628418,Thomas,Signed on 07/06/22
14,1610612747,2022,00,Wenyen Gabriel,wenyen-gabriel,35,F,6-9,205,"MAR 26, 1997",25.0,3,Kentucky,1629117,Wenyen,Signed on 03/01/22
